motion_name,motion_alias,motion_description,motion_use_arm,motion_use_hand,motion_tags,require,step_index,timestamp,label,active_hand,left_task_x,left_task_y,left_task_z,left_task_roll,left_task_pitch,left_task_yaw,right_task_x,right_task_y,right_task_z,right_task_roll,right_task_pitch,right_task_yaw,left_hand_target_j1,left_hand_target_j2,left_hand_target_j3,left_hand_target_j4,left_hand_target_j5,left_hand_target_j6,left_hand_target_j7,left_hand_target_j8,left_hand_target_j9,left_hand_target_j10,left_hand_target_j11,left_hand_target_j12,left_hand_target_j13,left_hand_target_j14,left_hand_target_j15,left_hand_target_j16,left_hand_target_j17,left_hand_target_j18,left_hand_target_j19,left_hand_target_j20,right_hand_target_j1,right_hand_target_j2,right_hand_target_j3,right_hand_target_j4,right_hand_target_j5,right_hand_target_j6,right_hand_target_j7,right_hand_target_j8,right_hand_target_j9,right_hand_target_j10,right_hand_target_j11,right_hand_target_j12,right_hand_target_j13,right_hand_target_j14,right_hand_target_j15,right_hand_target_j16,right_hand_target_j17,right_hand_target_j18,right_hand_target_j19,right_hand_target_j20,left_hand_feedback_j1,left_hand_feedback_j2,left_hand_feedback_j3,left_hand_feedback_j4,left_hand_feedback_j5,left_hand_feedback_j6,left_hand_feedback_j7,left_hand_feedback_j8,left_hand_feedback_j9,left_hand_feedback_j10,left_hand_feedback_j11,left_hand_feedback_j12,left_hand_feedback_j13,left_hand_feedback_j14,left_hand_feedback_j15,left_hand_feedback_j16,left_hand_feedback_j17,left_hand_feedback_j18,left_hand_feedback_j19,left_hand_feedback_j20,right_hand_feedback_j1,right_hand_feedback_j2,right_hand_feedback_j3,right_hand_feedback_j4,right_hand_feedback_j5,right_hand_feedback_j6,right_hand_feedback_j7,right_hand_feedback_j8,right_hand_feedback_j9,right_hand_feedback_j10,right_hand_feedback_j11,right_hand_feedback_j12,right_hand_feedback_j13,right_hand_feedback_j14,right_hand_feedback_j15,right_hand_feedback_j16,right_hand_feedback_j17,right_hand_feedback_j18,right_hand_feedback_j19,right_hand_feedback_j20
left_pre_grasp,lpg,왼팔만 기존 left_grasp 접근 위치로 이동하고 손은 현재 상태를 유지하는 사전 접근 motion,true,false,"priority,left,approach,pregrasp,arm_only,seed_from_scenario_left_grasp",,1,2026-05-18 05:26:07.627,lpg,left,0.3100000023841858,0.13999994099140167,-0.5399999022483826,0.20000000298023224,7.450580707946131e-10,-0.6000000834465027,0.2900000214576721,-0.19999997317790985,-0.4399999678134918,-0.20000000298023224,7.450580707946131e-10,0.6000000834465027,-0.5100001096725464,1.3400001525878906,-0.3800000548362732,-0.33000004291534424,0.1599999964237213,0.1599999964237213,0.1599999964237213,0.1599999964237213,0.1599999964237213,0.1599999964237213,0.1599999964237213,0.1599999964237213,0.1599999964237213,0.1599999964237213,0.1599999964237213,0.1599999964237213,0.1599999964237213,0.1599999964237213,0.1599999964237213,0.1599999964237213,0.3600001037120819,-1.3400001525878906,0.46000003814697266,0.4100000262260437,-0.23999999463558197,0.23999999463558197,0.23999999463558197,0.23999999463558197,-0.23999999463558197,0.23999999463558197,0.23999999463558197,0.23999999463558197,-0.23999999463558197,0.23999999463558197,0.23999999463558197,0.23999999463558197,-0.23999999463558197,-0.23999999463558197,0.23999999463558197,0.23999999463558197,-0.4642575979232788,1.3037608861923218,-0.33510324358940125,-0.28099802136421204,0.03839724510908127,0.11344640702009201,0.116937056183815,0.09599310904741287,0.06108652427792549,0.10821041464805603,0.1151917353272438,0.1151917353272438,0.050614550709724426,0.116937056183815,0.12217304855585098,0.10297442972660065,0.019198622554540634,0.059341199696063995,0.1151917353272438,0.10646508634090424,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
left_grasp_pose,lgp,기존 scenario_left_grasp 기반의 왼팔 접근 + 왼손 파지 pose,true,true,"priority,left,grasp,pick,arm_hand,seed_from_scenario_left_grasp",,2,2026-05-18 05:26:07.627,lgp,left,0.3100000023841858,0.13999994099140167,-0.5399999022483826,0.20000000298023224,7.450580707946131e-10,-0.6000000834465027,0.2900000214576721,-0.19999997317790985,-0.4399999678134918,-0.20000000298023224,7.450580707946131e-10,0.6000000834465027,-0.5100001096725464,1.3400001525878906,-0.3800000548362732,-0.33000004291534424,0.1599999964237213,0.1599999964237213,0.1599999964237213,0.1599999964237213,0.1599999964237213,0.1599999964237213,0.1599999964237213,0.1599999964237213,0.1599999964237213,0.1599999964237213,0.1599999964237213,0.1599999964237213,0.1599999964237213,0.1599999964237213,0.1599999964237213,0.1599999964237213,0.3600001037120819,-1.3400001525878906,0.46000003814697266,0.4100000262260437,-0.23999999463558197,0.23999999463558197,0.23999999463558197,0.23999999463558197,-0.23999999463558197,0.23999999463558197,0.23999999463558197,0.23999999463558197,-0.23999999463558197,0.23999999463558197,0.23999999463558197,0.23999999463558197,-0.23999999463558197,-0.23999999463558197,0.23999999463558197,0.23999999463558197,-0.4642575979232788,1.3037608861923218,-0.33510324358940125,-0.28099802136421204,0.03839724510908127,0.11344640702009201,0.116937056183815,0.09599310904741287,0.06108652427792549,0.10821041464805603,0.1151917353272438,0.1151917353272438,0.050614550709724426,0.116937056183815,0.12217304855585098,0.10297442972660065,0.019198622554540634,0.059341199696063995,0.1151917353272438,0.10646508634090424,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
left_lift_pose,llift,왼손 파지 이후 현재 손 상태를 유지한 채 왼팔만 약 8cm 들어올리는 lift pose,true,false,"priority,left,lift,arm_only,derived_from_left_grasp_z_plus_0p08m",,3,2026-05-18 05:26:07.627,llift,left,0.3100000023841858,0.13999994099140167,-0.45999990224838255,0.20000000298023224,7.450580707946131e-10,-0.6000000834465027,0.2900000214576721,-0.19999997317790985,-0.4399999678134918,-0.20000000298023224,7.450580707946131e-10,0.6000000834465027,-0.5100001096725464,1.3400001525878906,-0.3800000548362732,-0.33000004291534424,0.1599999964237213,0.1599999964237213,0.1599999964237213,0.1599999964237213,0.1599999964237213,0.1599999964237213,0.1599999964237213,0.1599999964237213,0.1599999964237213,0.1599999964237213,0.1599999964237213,0.1599999964237213,0.1599999964237213,0.1599999964237213,0.1599999964237213,0.1599999964237213,0.3600001037120819,-1.3400001525878906,0.46000003814697266,0.4100000262260437,-0.23999999463558197,0.23999999463558197,0.23999999463558197,0.23999999463558197,-0.23999999463558197,0.23999999463558197,0.23999999463558197,0.23999999463558197,-0.23999999463558197,0.23999999463558197,0.23999999463558197,0.23999999463558197,-0.23999999463558197,-0.23999999463558197,0.23999999463558197,0.23999999463558197,-0.4642575979232788,1.3037608861923218,-0.33510324358940125,-0.28099802136421204,0.03839724510908127,0.11344640702009201,0.116937056183815,0.09599310904741287,0.06108652427792549,0.10821041464805603,0.1151917353272438,0.1151917353272438,0.050614550709724426,0.116937056183815,0.12217304855585098,0.10297442972660065,0.019198622554540634,0.059341199696063995,0.1151917353272438,0.10646508634090424,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
left_rotate_pose,lrot,기존 scenario_left_rotate 기반의 왼팔 큐브 회전/재지향 pose,true,false,"priority,left,cube,rotate,arm_only,seed_from_scenario_left_rotate",,4,2026-05-18 05:26:07.627,lrot,left,0.3199999928474426,0.19999997317790985,-0.44999995827674866,1.149999976158142,-0.4500000476837158,-1.0500000715255737,0.2900000214576721,-0.19999997317790985,-0.4399999678134918,-0.20000000298023224,7.450580707946131e-10,0.6000000834465027,-0.5100001096725464,1.3400001525878906,-0.46000006794929504,-0.4100000560283661,0.23999999463558197,0.23999999463558197,0.23999999463558197,0.23999999463558197,0.23999999463558197,0.23999999463558197,0.23999999463558197,0.23999999463558197,0.23999999463558197,0.23999999463558197,0.23999999463558197,0.23999999463558197,0.23999999463558197,0.23999999463558197,0.23999999463558197,0.23999999463558197,0.3600001037120819,-1.3400001525878906,0.46000003814697266,0.4100000262260437,-0.23999999463558197,0.23999999463558197,0.23999999463558197,0.23999999463558197,-0.23999999463558197,0.23999999463558197,0.23999999463558197,0.23999999463558197,-0.23999999463558197,0.23999999463558197,0.23999999463558197,0.23999999463558197,-0.23999999463558197,-0.23999999463558197,0.23999999463558197,0.23999999463558197,-0.5181371569633484,1.386444091796875,-0.4399087429046631,-0.40355682373046875,0.21952927112579346,0.32128843665122986,0.2749532163143158,0.24670854210853577,0.21952927112579346,0.32128843665122986,0.2749532163143158,0.24670854210853577,0.21952927112579346,0.32128843665122986,0.2749532163143158,0.24670854210853577,0.23294781148433685,0.23453493416309357,0.2762584984302521,0.24732054769992828,0.38326752185821533,-1.4035149812698364,0.471462607383728,0.4119795560836792,-0.16403968632221222,0.2609073221683502,0.2491474598646164,0.24179941415786743,-0.16403968632221222,0.2609073221683502,0.2491474598646164,0.24179941415786743,-0.16403968632221222,0.2609073221683502,0.2491474598646164,0.24179941415786743,-0.24295927584171295,-0.16533483564853668,0.2567371726036072,0.24327053129673004
left_release_pose,lrelp,ready snapshot의 왼손 target으로 복귀하는 왼손 전용 release pose,false,true,"priority,left,release,open,hand_only,seed_from_ready",,5,2026-05-18 05:26:07.627,lrelp,left,0.290000021457672,0.19999997317791,-0.439999967813492,0.200000002980232,7.45058070794613E-10,-0.600000083446503,0.290000021457672,-0.19999997317791,-0.439999967813492,-0.200000002980232,7.45058070794613E-10,0.600000083446503,-0.510000109672546,1.34000015258789,-0.380000054836273,-0.330000042915344,0.159999996423721,0.159999996423721,0.159999996423721,0.159999996423721,0.159999996423721,0.159999996423721,0.159999996423721,0.159999996423721,0.159999996423721,0.159999996423721,0.159999996423721,0.159999996423721,0.159999996423721,0.159999996423721,0.159999996423721,0.159999996423721,0.360000103712082,-1.34000015258789,0.460000038146973,0.410000026226044,-0.239999994635582,0.239999994635582,0.239999994635582,0.239999994635582,-0.239999994635582,0.239999994635582,0.239999994635582,0.239999994635582,-0.239999994635582,0.239999994635582,0.239999994635582,0.239999994635582,-0.239999994635582,-0.239999994635582,0.239999994635582,0.239999994635582,-0.531205534934998,1.39906537532806,-0.397841542959213,-0.333592176437378,0.0794310718774796,0.177490085363388,0.167276486754417,0.161379471421242,0.0794310718774796,0.177490085363388,0.167276486754417,0.161379471421242,0.0794310718774796,0.177490085363388,0.167276486754417,0.161379471421242,0.158796980977058,0.0807696506381035,0.173039346933365,0.162525668740273,0.383398622274399,-1.40237557888031,0.472575664520264,0.412186324596405,-0.163628026843071,0.259619325399399,0.248377725481987,0.241601750254631,-0.163628026843071,0.259619325399399,0.248377725481987,0.241601750254631,-0.163628026843071,0.259619325399399,0.248377725481987,0.241601750254631,-0.24292528629303,-0.164930164813995,0.25627675652504,0.243127509951591
right_pre_grasp,rpg,오른팔만 left_grasp 접근 위치를 좌우 반전한 위치로 이동하고 손은 현재 상태를 유지하는 사전 접근 motion,true,false,"priority,right,approach,pregrasp,arm_only,mirrored_from_left_grasp",,6,2026-05-18 05:26:07.628,rpg,right,0.290000021457672,0.19999997317791,-0.439999967813492,0.200000002980232,7.45058070794613E-10,-0.600000083446503,0.3100000023841858,-0.13999994099140167,-0.5399999022483826,-0.20000000298023224,7.450580707946131e-10,0.6000000834465027,-0.510000109672546,1.34000015258789,-0.380000054836273,-0.330000042915344,0.159999996423721,0.159999996423721,0.159999996423721,0.159999996423721,0.159999996423721,0.159999996423721,0.159999996423721,0.159999996423721,0.159999996423721,0.159999996423721,0.159999996423721,0.159999996423721,0.159999996423721,0.159999996423721,0.159999996423721,0.159999996423721,0.3600001037120819,-1.3400001525878906,0.46000003814697266,0.4100000262260437,-0.23999999463558197,0.23999999463558197,0.23999999463558197,0.23999999463558197,-0.23999999463558197,0.23999999463558197,0.23999999463558197,0.23999999463558197,-0.23999999463558197,0.23999999463558197,0.23999999463558197,0.23999999463558197,-0.23999999463558197,-0.23999999463558197,0.23999999463558197,0.23999999463558197,-0.531205534934998,1.39906537532806,-0.397841542959213,-0.333592176437378,0.0794310718774796,0.177490085363388,0.167276486754417,0.161379471421242,0.0794310718774796,0.177490085363388,0.167276486754417,0.161379471421242,0.0794310718774796,0.177490085363388,0.167276486754417,0.161379471421242,0.158796980977058,0.0807696506381035,0.173039346933365,0.162525668740273,0.383398622274399,-1.40237557888031,0.472575664520264,0.412186324596405,-0.163628026843071,0.259619325399399,0.248377725481987,0.241601750254631,-0.163628026843071,0.259619325399399,0.248377725481987,0.241601750254631,-0.163628026843071,0.259619325399399,0.248377725481987,0.241601750254631,-0.24292528629303,-0.164930164813995,0.25627675652504,0.243127509951591
right_grasp_pose,rgp,오른팔 좌우 반전 접근 위치 + 오른손 파지 target을 함께 적용하는 pose,true,true,"priority,right,grasp,pick,arm_hand,mirrored_from_left_grasp",,7,2026-05-18 05:26:07.628,rgp,right,0.290000021457672,0.19999997317791,-0.439999967813492,0.200000002980232,7.45058070794613E-10,-0.600000083446503,0.3100000023841858,-0.13999994099140167,-0.5399999022483826,-0.20000000298023224,7.450580707946131e-10,0.6000000834465027,-0.510000109672546,1.34000015258789,-0.380000054836273,-0.330000042915344,0.159999996423721,0.159999996423721,0.159999996423721,0.159999996423721,0.159999996423721,0.159999996423721,0.159999996423721,0.159999996423721,0.159999996423721,0.159999996423721,0.159999996423721,0.159999996423721,0.159999996423721,0.159999996423721,0.159999996423721,0.159999996423721,0.3600001037120819,-1.3400001525878906,0.46000003814697266,0.4100000262260437,-0.23999999463558197,0.23999999463558197,0.23999999463558197,0.23999999463558197,-0.23999999463558197,0.23999999463558197,0.23999999463558197,0.23999999463558197,-0.23999999463558197,0.23999999463558197,0.23999999463558197,0.23999999463558197,-0.23999999463558197,-0.23999999463558197,0.23999999463558197,0.23999999463558197,-0.531205534934998,1.39906537532806,-0.397841542959213,-0.333592176437378,0.0794310718774796,0.177490085363388,0.167276486754417,0.161379471421242,0.0794310718774796,0.177490085363388,0.167276486754417,0.161379471421242,0.0794310718774796,0.177490085363388,0.167276486754417,0.161379471421242,0.158796980977058,0.0807696506381035,0.173039346933365,0.162525668740273,0.383398622274399,-1.40237557888031,0.472575664520264,0.412186324596405,-0.163628026843071,0.259619325399399,0.248377725481987,0.241601750254631,-0.163628026843071,0.259619325399399,0.248377725481987,0.241601750254631,-0.163628026843071,0.259619325399399,0.248377725481987,0.241601750254631,-0.24292528629303,-0.164930164813995,0.25627675652504,0.243127509951591
right_rotate_pose,rrot,기존 scenario_right_rotate 기반의 오른팔 큐브 회전/재지향 pose,true,false,"priority,right,cube,rotate,arm_only,seed_from_scenario_right_rotate",,8,2026-05-18 05:26:07.628,rrot,right,0.2900000214576721,0.19999997317790985,-0.4399999678134918,0.20000000298023224,7.450580707946131e-10,-0.6000000834465027,0.35999995470046997,-0.22999998927116394,-0.44999995827674866,-1.3499997854232788,-0.5500000715255737,1.399999737739563,-0.5100001096725464,1.3400001525878906,-0.3800000548362732,-0.33000004291534424,0.1599999964237213,0.1599999964237213,0.1599999964237213,0.1599999964237213,0.1599999964237213,0.1599999964237213,0.1599999964237213,0.1599999964237213,0.1599999964237213,0.1599999964237213,0.1599999964237213,0.1599999964237213,0.1599999964237213,0.1599999964237213,0.1599999964237213,0.1599999964237213,0.3600001037120819,-1.3400001525878906,0.46000000834465027,0.4100000262260437,-0.23999999463558197,0.23999999463558197,0.23999999463558197,0.23999999463558197,-0.23999999463558197,0.23999999463558197,0.23999999463558197,0.23999999463558197,-0.23999999463558197,0.23999999463558197,0.23999999463558197,0.23999999463558197,-0.23999999463558197,-0.23999999463558197,0.23999999463558197,0.23999999463558197,-0.5311071276664734,1.4005823135375977,-0.3967667520046234,-0.3333718180656433,0.0795549601316452,0.17838990688323975,0.16781680285930634,0.16152073442935944,0.0795549601316452,0.17838990688323975,0.16781680285930634,0.16152073442935944,0.0795549601316452,0.17838990688323975,0.16781680285930634,0.16152073442935944,0.15880845487117767,0.08088453114032745,0.17335787415504456,0.16262508928775787,0.36150267720222473,-1.3756200075149536,0.4318876564502716,0.4018396735191345,-0.23481278121471405,0.3240419626235962,0.2763482630252838,0.247019961476326,-0.23481282591819763,0.324042409658432,0.27634841203689575,0.24701997637748718,-0.23481255769729614,0.32404232025146484,0.2763483226299286,0.247019961476326,-0.2323523461818695,-0.2512717843055725,0.2757412791252136,0.24728918075561523
cube_show_to_camera,cshow,CubeNet 촬영을 위해 큐브를 카메라에 보여주는 시작 pose; 기존 left_rotate를 기반으로 튜닝 권장,true,false,"priority,cube,camera,scan,arm_only,seed_from_scenario_left_rotate,tune_recommended",,9,2026-05-18 05:26:07.628,cshow,left,0.3199999928474426,0.19999997317790985,-0.44999995827674866,1.149999976158142,-0.4500000476837158,-1.0500000715255737,0.2900000214576721,-0.19999997317790985,-0.4399999678134918,-0.20000000298023224,7.450580707946131e-10,0.6000000834465027,-0.5100001096725464,1.3400001525878906,-0.46000006794929504,-0.4100000560283661,0.23999999463558197,0.23999999463558197,0.23999999463558197,0.23999999463558197,0.23999999463558197,0.23999999463558197,0.23999999463558197,0.23999999463558197,0.23999999463558197,0.23999999463558197,0.23999999463558197,0.23999999463558197,0.23999999463558197,0.23999999463558197,0.23999999463558197,0.23999999463558197,0.3600001037120819,-1.3400001525878906,0.46000003814697266,0.4100000262260437,-0.23999999463558197,0.23999999463558197,0.23999999463558197,0.23999999463558197,-0.23999999463558197,0.23999999463558197,0.23999999463558197,0.23999999463558197,-0.23999999463558197,0.23999999463558197,0.23999999463558197,0.23999999463558197,-0.23999999463558197,-0.23999999463558197,0.23999999463558197,0.23999999463558197,-0.5181371569633484,1.386444091796875,-0.4399087429046631,-0.40355682373046875,0.21952927112579346,0.32128843665122986,0.2749532163143158,0.24670854210853577,0.21952927112579346,0.32128843665122986,0.2749532163143158,0.24670854210853577,0.21952927112579346,0.32128843665122986,0.2749532163143158,0.24670854210853577,0.23294781148433685,0.23453493416309357,0.2762584984302521,0.24732054769992828,0.38326752185821533,-1.4035149812698364,0.471462607383728,0.4119795560836792,-0.16403968632221222,0.2609073221683502,0.2491474598646164,0.24179941415786743,-0.16403968632221222,0.2609073221683502,0.2491474598646164,0.24179941415786743,-0.16403968632221222,0.2609073221683502,0.2491474598646164,0.24179941415786743,-0.24295927584171295,-0.16533483564853668,0.2567371726036072,0.24327053129673004
cube_transfer_left_to_right,cl2r,왼손 파지 위치와 오른손 수신 위치를 동시에 구성하는 좌->우 전달 중간 pose; 실제 로봇에서 간격 튜닝 권장,true,true,"priority,cube,transfer,dual_arm,arm_hand,combined_left_grasp_and_mirrored_right_grasp,tune_recommended",,10,2026-05-18 05:26:07.628,cl2r,left,0.3100000023841858,0.13999994099140167,-0.5399999022483826,0.20000000298023224,7.450580707946131e-10,-0.6000000834465027,0.3100000023841858,-0.13999994099140167,-0.5399999022483826,-0.20000000298023224,7.450580707946131e-10,0.6000000834465027,-0.5100001096725464,1.3400001525878906,-0.3800000548362732,-0.33000004291534424,0.1599999964237213,0.1599999964237213,0.1599999964237213,0.1599999964237213,0.1599999964237213,0.1599999964237213,0.1599999964237213,0.1599999964237213,0.1599999964237213,0.1599999964237213,0.1599999964237213,0.1599999964237213,0.1599999964237213,0.1599999964237213,0.1599999964237213,0.1599999964237213,0.3600001037120819,-1.3400001525878906,0.46000003814697266,0.4100000262260437,-0.23999999463558197,0.23999999463558197,0.23999999463558197,0.23999999463558197,-0.23999999463558197,0.23999999463558197,0.23999999463558197,0.23999999463558197,-0.23999999463558197,0.23999999463558197,0.23999999463558197,0.23999999463558197,-0.23999999463558197,-0.23999999463558197,0.23999999463558197,0.23999999463558197,-0.4642575979232788,1.3037608861923218,-0.33510324358940125,-0.28099802136421204,0.03839724510908127,0.11344640702009201,0.116937056183815,0.09599310904741287,0.06108652427792549,0.10821041464805603,0.1151917353272438,0.1151917353272438,0.050614550709724426,0.116937056183815,0.12217304855585098,0.10297442972660065,0.019198622554540634,0.059341199696063995,0.1151917353272438,0.10646508634090424,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
